Case_ID,Location_City,Location_State,Urban_Specific,Date_of_Marriage,Date_of_Separation,Date_of_Divorce,Duration_of_Marriage_Years,Divorce_Reason,Counseling_Attempted,Mediation_Used,Solution_Adopted,Process_Status,Legal_Process_Duration_Months,Children_Custody,Child_Support,Number_of_Children,Work_Life_Stress,Social_Media_Influence,Support_Network,COVID_Impact,Repeat_Marriage,Age_At_Marriage_Wife,Age_At_Marriage_Husband
318,Noida,Uttar Pradesh,TRUE,2016-04-27,2025-07-25,,9.2,Domestic Violence,No,No,Divorce,Ongoing,6,Mother,Yes,2,High,No,NGO,Yes,No,27,32
319,Hyderabad,Telangana,TRUE,2012-02-02,2015-05-02,2015-01-14,3.0,Financial Stress,Yes,No,Mediation,Ongoing,8,NA,Yes,1,High,Yes,Parents,Yes,No,29,29
320,Hyderabad,Telangana,TRUE,2019-01-26,2023-08-27,2025-08-25,6.6,Unrealistic Expectations,Yes,No,Counseling,Settled,11,NA,Yes,0,High,No,Friends,Yes,No,31,31
321,Mumbai,Maharashtra,TRUE,2010-02-12,2013-12-07,2014-10-16,4.7,Work-Life Imbalance,No,No,Counseling,Pending,5,Father,Yes,1,High,Yes,Parents,No,No,31,31
322,Mumbai,Maharashtra,TRUE,2013-03-06,2018-01-08,,12.3,Infidelity,No,No,Mediation,Settled,8,NA,No,0,High,Yes,Friends,No,No,30,31
323,Chennai,Tamil Nadu,TRUE,2017-04-23,2021-06-28,2022-04-21,5.0,In-Laws Conflict,Yes,No,Counseling,Settled,16,NA,No,2,Low,No,Parents,No,No,30,35
324,Gurgaon,Haryana,TRUE,2016-08-21,2021-02-02,,8.9,Lack of Compatibility,Yes,No,Mediation,Settled,11,NA,No,1,Medium,Yes,NGO,No,No,24,28
325,Ahmedabad,Gujarat,TRUE,2012-03-12,2017-07-11,2017-10-30,5.6,Domestic Violence,No,No,Counseling,Reconciled,6,Mother,Yes,1,High,No,None,No,No,25,25
326,Gurgaon,Haryana,TRUE,2018-11-25,,,6.6,Domestic Violence,No,No,Divorce,Reconciled,14,NA,Yes,1,High,Yes,None,No,No,32,32
327,Noida,Uttar Pradesh,TRUE,2018-01-05,2023-05-27,2024-05-11,6.4,In-Laws Conflict,No,No,Counseling,Settled,20,NA,Yes,0,Medium,Yes,NGO,No,No,26,28
328,Hyderabad,Telangana,TRUE,2012-01-22,2021-04-06,2023-08-04,11.5,Lack of Communication,Yes,Yes,Counseling,Ongoing,14,NA,No,1,Low,Yes,Friends,No,Yes,25,25
329,Gurgaon,Haryana,TRUE,2016-03-28,,,9.3,Career Prioritization,Yes,Yes,Reconciliation,Reconciled,18,NA,Yes,0,High,No,Parents,No,No,27,31
330,Hyderabad,Telangana,TRUE,2013-04-13,2019-01-03,2020-10-14,7.5,Career Prioritization,No,Yes,Counseling,Reconciled,6,NA,No,0,Medium,No,None,No,No,27,28
331,Hyderabad,Telangana,TRUE,2018-02-10,2021-03-03,,7.4,Lack of Communication,No,No,Counseling,Ongoing,17,NA,Yes,0,Low,Yes,None,No,No,30,33
332,Bengaluru,Karnataka,TRUE,2012-12-13,2016-07-06,2016-03-20,3.3,Unrealistic Expectations,Yes,Yes,Counseling,Ongoing,9,NA,Yes,0,Medium,Yes,NGO,No,No,24,27
333,Gurgaon,Haryana,TRUE,2016-12-19,,,8.5,Unrealistic Expectations,No,No,Family Intervention,Reconciled,6,Mother,Yes,1,Medium,Yes,Friends,No,No,29,30
334,Chennai,Tamil Nadu,TRUE,2018-04-05,,,7.2,Unrealistic Expectations,Yes,No,Family Intervention,Ongoing,19,NA,Yes,0,Medium,Yes,None,No,No,27,28
335,Pune,Maharashtra,TRUE,2015-09-03,2018-11-04,2018-03-25,2.6,Financial Stress,No,Yes,Divorce,Reconciled,12,Father,Yes,1,Low,Yes,NGO,Yes,Yes,28,30
336,Pune,Maharashtra,TRUE,2013-09-26,2021-11-02,2022-05-09,8.6,Career Prioritization,Yes,Yes,Reconciliation,Settled,16,Joint,Yes,2,Low,Yes,Friends,Yes,No,28,29
337,Gurgaon,Haryana,TRUE,2014-08-03,2020-01-28,2022-09-23,8.1,Career Prioritization,Yes,Yes,Family Intervention,Reconciled,22,Joint,Yes,1,High,No,NGO,No,No,29,35
338,Bengaluru,Karnataka,TRUE,2013-05-11,2021-02-27,2021-03-06,7.8,Infidelity,No,Yes,Counseling,Ongoing,20,Joint,Yes,2,Low,No,Parents,No,No,32,35
339,Kolkata,West Bengal,TRUE,2019-09-27,,,5.8,Infidelity,No,No,Counseling,Reconciled,12,Joint,Yes,1,Low,No,Parents,No,No,28,34
340,Gurgaon,Haryana,TRUE,2017-02-09,2023-11-14,2023-01-12,5.9,Work-Life Imbalance,Yes,No,Reconciliation,Pending,7,NA,Yes,1,High,Yes,None,No,No,31,33
341,Pune,Maharashtra,TRUE,2019-09-28,,,5.8,In-Laws Conflict,Yes,No,Divorce,Ongoing,21,NA,Yes,0,Low,Yes,NGO,No,No,28,29
342,Kolkata,West Bengal,TRUE,2012-05-03,2018-06-29,2020-05-17,8.0,Unrealistic Expectations,No,Yes,Reconciliation,Settled,20,NA,Yes,1,Low,Yes,None,Yes,No,31,36
343,Kolkata,West Bengal,TRUE,2019-01-20,,,6.4,Lack of Compatibility,Yes,No,Mediation,Settled,20,NA,Yes,0,High,No,NGO,Yes,No,30,30
344,Noida,Uttar Pradesh,TRUE,2016-07-21,2022-06-06,2023-02-20,6.6,Lack of Compatibility,No,No,Mediation,Settled,15,NA,Yes,1,High,Yes,None,Yes,No,23,27
345,Bengaluru,Karnataka,TRUE,2010-01-07,2019-02-23,2019-03-04,9.2,Unrealistic Expectations,No,Yes,Divorce,Ongoing,18,Father,Yes,1,Low,No,None,No,No,26,31
346,Noida,Uttar Pradesh,TRUE,2014-09-12,2023-01-10,2023-05-31,8.7,Work-Life Imbalance,Yes,Yes,Counseling,Ongoing,5,NA,No,1,High,No,Parents,Yes,No,27,33
347,Mumbai,Maharashtra,TRUE,2014-12-25,2024-09-09,2024-02-23,9.2,Work-Life Imbalance,Yes,Yes,Family Intervention,Pending,10,NA,No,2,High,Yes,NGO,No,No,31,35
348,Kolkata,West Bengal,TRUE,2012-11-23,2017-05-28,2018-11-22,6.0,Infidelity,Yes,No,Counseling,Ongoing,16,Mother,No,2,Medium,Yes,Parents,No,No,32,37
349,Ahmedabad,Gujarat,TRUE,2017-10-17,,,7.7,Financial Stress,Yes,No,Reconciliation,Reconciled,17,Joint,Yes,2,Low,Yes,None,Yes,No,30,34
350,Hyderabad,Telangana,TRUE,2017-05-27,,,8.1,Work-Life Imbalance,Yes,No,Reconciliation,Settled,17,NA,No,0,Low,No,Friends,No,No,32,33
351,Mumbai,Maharashtra,TRUE,2011-03-31,2021-05-11,2021-09-27,10.5,Career Prioritization,Yes,No,Counseling,Ongoing,11,Mother,Yes,1,Low,No,NGO,No,No,26,27
352,Noida,Uttar Pradesh,TRUE,2018-07-12,2022-01-27,2024-03-14,5.7,Unrealistic Expectations,Yes,No,Divorce,Pending,21,Mother,Yes,1,High,Yes,Parents,No,No,25,28
353,Chennai,Tamil Nadu,TRUE,2013-01-30,2019-05-15,2019-12-09,6.9,Domestic Violence,Yes,No,Family Intervention,Reconciled,12,NA,Yes,1,Medium,No,Friends,No,No,25,29
354,Pune,Maharashtra,TRUE,2011-11-19,2019-02-17,,13.6,Unrealistic Expectations,Yes,No,Mediation,Ongoing,15,NA,Yes,0,High,Yes,NGO,No,No,28,32
355,Chennai,Tamil Nadu,TRUE,2013-07-07,2021-03-25,2022-12-06,9.4,Lack of Compatibility,No,No,Reconciliation,Ongoing,10,Joint,Yes,1,Medium,Yes,Friends,No,No,30,34
356,Kolkata,West Bengal,TRUE,2015-02-06,2022-04-14,2024-12-06,9.8,Career Prioritization,Yes,Yes,Family Intervention,Pending,20,Joint,No,1,Medium,No,None,No,No,25,26
357,Gurgaon,Haryana,TRUE,2013-06-15,2023-10-17,2024-03-12,10.7,Infidelity,Yes,No,Mediation,Settled,14,Mother,Yes,1,Medium,Yes,Parents,No,No,32,36
358,Pune,Maharashtra,TRUE,2019-02-07,2025-03-19,,6.4,Infidelity,Yes,No,Counseling,Pending,9,NA,Yes,1,Medium,Yes,Parents,No,No,30,36
359,Mumbai,Maharashtra,TRUE,2011-12-30,2020-08-11,,13.5,Lack of Compatibility,No,Yes,Reconciliation,Ongoing,19,NA,No,2,High,Yes,Friends,No,No,27,33
360,Kolkata,West Bengal,TRUE,2014-07-19,2021-05-26,,11.0,Infidelity,Yes,Yes,Counseling,Reconciled,5,NA,Yes,1,Medium,No,Friends,Yes,No,31,37
361,Chennai,Tamil Nadu,TRUE,2010-07-22,2018-09-28,2020-07-26,10.0,Lack of Communication,Yes,No,Mediation,Reconciled,18,Joint,Yes,2,High,No,Parents,No,No,28,32
362,Ahmedabad,Gujarat,TRUE,2019-10-15,,,5.7,Domestic Violence,Yes,Yes,Divorce,Settled,5,Joint,Yes,1,High,Yes,NGO,No,No,27,33
363,Ahmedabad,Gujarat,TRUE,2012-02-10,2019-10-18,2019-03-25,7.1,Unrealistic Expectations,No,No,Counseling,Pending,10,NA,No,2,Medium,Yes,Parents,No,No,28,32
364,Pune,Maharashtra,TRUE,2012-08-04,2019-11-08,2020-03-10,7.6,Unrealistic Expectations,Yes,No,Mediation,Pending,16,NA,Yes,0,Medium,No,Parents,No,No,29,32
365,Hyderabad,Telangana,TRUE,2015-07-22,2025-11-09,,10.0,Infidelity,No,No,Mediation,Reconciled,16,NA,No,0,High,Yes,Parents,No,No,26,32
366,Delhi,Delhi,TRUE,2016-10-28,2019-11-21,2020-05-22,3.6,Career Prioritization,Yes,Yes,Divorce,Reconciled,5,Mother,Yes,1,High,No,Friends,No,No,25,29
367,Bengaluru,Karnataka,TRUE,2015-08-27,2023-01-03,,9.9,Lack of Communication,Yes,No,Reconciliation,Pending,14,NA,Yes,1,High,Yes,Friends,Yes,Yes,31,35
368,Delhi,Delhi,TRUE,2012-10-10,2021-04-10,,12.7,In-Laws Conflict,No,Yes,Counseling,Settled,18,NA,No,1,Low,Yes,Parents,No,No,24,27
369,Kolkata,West Bengal,TRUE,2013-07-12,2016-07-29,2016-10-24,3.3,Work-Life Imbalance,Yes,No,Reconciliation,Ongoing,9,NA,Yes,1,High,Yes,None,No,No,27,28
370,Noida,Uttar Pradesh,TRUE,2010-05-09,2017-12-02,,15.2,Unrealistic Expectations,Yes,No,Counseling,Ongoing,7,NA,No,2,High,Yes,Parents,No,No,28,28
371,Kolkata,West Bengal,TRUE,2011-09-13,2014-01-04,2016-11-11,5.2,Career Prioritization,No,Yes,Reconciliation,Ongoing,7,Joint,Yes,2,Low,No,Parents,No,No,29,31
372,Noida,Uttar Pradesh,TRUE,2012-07-04,2018-08-20,,13.0,Domestic Violence,Yes,No,Family Intervention,Ongoing,5,NA,Yes,1,Low,No,None,No,No,26,31
373,Noida,Uttar Pradesh,TRUE,2019-02-10,2022-09-01,,6.4,Work-Life Imbalance,Yes,No,Divorce,Ongoing,5,NA,No,1,High,Yes,Friends,No,No,24,24
374,Ahmedabad,Gujarat,TRUE,2019-07-13,,,6.0,Career Prioritization,Yes,Yes,Reconciliation,Pending,13,NA,No,1,Low,No,Friends,No,No,26,27
375,Ahmedabad,Gujarat,TRUE,2013-02-01,2017-08-11,2017-11-30,4.8,Career Prioritization,Yes,Yes,Mediation,Ongoing,21,NA,Yes,1,High,Yes,None,Yes,No,30,33
376,Noida,Uttar Pradesh,TRUE,2015-04-29,2025-12-02,,10.2,Domestic Violence,Yes,No,Mediation,Settled,19,NA,Yes,1,Low,No,Friends,No,No,30,32
377,Bengaluru,Karnataka,TRUE,2018-07-11,2021-09-14,2021-12-28,3.5,Career Prioritization,Yes,Yes,Counseling,Ongoing,6,Joint,No,1,Medium,Yes,NGO,No,No,23,28
378,Chennai,Tamil Nadu,TRUE,2015-11-26,2018-07-25,2020-04-30,4.4,Lack of Communication,Yes,Yes,Reconciliation,Pending,7,NA,Yes,0,Medium,Yes,Friends,No,No,29,33
379,Hyderabad,Telangana,TRUE,2010-05-16,2018-12-22,,15.1,Lack of Compatibility,No,No,Reconciliation,Pending,11,NA,Yes,1,High,Yes,NGO,Yes,Yes,30,31
380,Mumbai,Maharashtra,TRUE,2012-07-31,2016-03-04,2017-01-14,4.5,Financial Stress,No,No,Divorce,Ongoing,7,Joint,No,2,Medium,No,Parents,No,No,24,30
381,Bengaluru,Karnataka,TRUE,2013-03-21,2022-12-19,2023-10-23,10.6,Financial Stress,No,No,Family Intervention,Pending,16,NA,Yes,2,High,Yes,Friends,No,No,31,35
382,Mumbai,Maharashtra,TRUE,2012-09-09,2020-09-05,2021-09-10,9.0,In-Laws Conflict,Yes,No,Mediation,Settled,19,Father,Yes,1,Low,No,Parents,No,No,28,34
383,Gurgaon,Haryana,TRUE,2013-01-07,2022-06-22,2022-08-16,9.6,Financial Stress,Yes,No,Family Intervention,Settled,5,NA,Yes,1,Low,No,None,Yes,No,31,37
384,Delhi,Delhi,TRUE,2016-02-28,2022-11-29,2023-10-15,7.6,Lack of Compatibility,Yes,Yes,Divorce,Settled,7,NA,No,0,Low,Yes,NGO,No,No,31,31
385,Mumbai,Maharashtra,TRUE,2011-02-11,2019-12-10,2020-07-15,9.4,Financial Stress,No,Yes,Divorce,Pending,9,Father,Yes,1,Low,No,NGO,Yes,Yes,26,30
386,Delhi,Delhi,TRUE,2010-05-19,2014-01-21,2014-11-24,4.5,Career Prioritization,No,No,Reconciliation,Settled,9,Mother,No,1,High,Yes,Parents,No,No,26,32
387,Chennai,Tamil Nadu,TRUE,2011-07-14,2017-06-08,2019-11-16,8.3,Unrealistic Expectations,Yes,Yes,Family Intervention,Reconciled,9,NA,Yes,0,High,No,Parents,No,No,26,27
388,Mumbai,Maharashtra,TRUE,2010-06-01,2016-04-23,2017-07-05,7.1,Lack of Compatibility,No,No,Reconciliation,Pending,21,NA,Yes,0,Low,No,Parents,No,No,29,33
389,Pune,Maharashtra,TRUE,2013-12-25,2021-08-12,,11.5,Lack of Communication,No,No,Divorce,Pending,6,NA,No,2,Low,Yes,Parents,No,No,30,35
390,Chennai,Tamil Nadu,TRUE,2013-05-22,2019-10-10,,12.1,Unrealistic Expectations,Yes,Yes,Family Intervention,Pending,17,NA,No,0,Medium,Yes,None,No,Yes,27,28
391,Hyderabad,Telangana,TRUE,2017-03-18,2020-09-10,,8.3,Career Prioritization,Yes,No,Family Intervention,Reconciled,20,NA,Yes,1,Low,Yes,NGO,No,No,23,28
392,Ahmedabad,Gujarat,TRUE,2011-03-26,2018-02-01,2019-03-30,8.0,Work-Life Imbalance,Yes,No,Mediation,Settled,8,NA,No,1,High,Yes,NGO,No,No,27,28
393,Delhi,Delhi,TRUE,2014-07-30,2017-05-08,2018-04-04,3.7,Financial Stress,Yes,No,Mediation,Ongoing,14,NA,Yes,0,Medium,Yes,NGO,Yes,No,23,25
394,Noida,Uttar Pradesh,TRUE,2016-07-03,2025-11-26,,9.0,Infidelity,No,No,Mediation,Pending,11,NA,No,0,Low,Yes,NGO,No,No,25,29
395,Chennai,Tamil Nadu,TRUE,2014-09-07,2021-05-11,2021-06-11,6.8,Career Prioritization,No,No,Family Intervention,Pending,9,NA,Yes,0,High,Yes,Friends,Yes,No,23,27
396,Ahmedabad,Gujarat,TRUE,2012-11-21,2018-09-22,,12.6,Infidelity,Yes,No,Reconciliation,Ongoing,16,NA,Yes,1,High,Yes,None,No,No,26,30
397,Delhi,Delhi,TRUE,2013-06-19,2023-05-18,,12.0,Domestic Violence,Yes,Yes,Family Intervention,Pending,9,NA,Yes,1,High,Yes,Friends,No,No,27,33
398,Delhi,Delhi,TRUE,2011-07-25,2015-12-22,2017-10-10,6.2,Unrealistic Expectations,No,No,Reconciliation,Ongoing,21,Joint,Yes,1,Medium,Yes,None,No,No,28,34
399,Delhi,Delhi,TRUE,2014-12-17,2023-08-30,2024-06-03,9.5,Unrealistic Expectations,Yes,Yes,Reconciliation,Settled,17,Father,Yes,2,Medium,No,Parents,No,No,28,33
400,Hyderabad,Telangana,TRUE,2016-02-12,2019-03-27,,9.4,Work-Life Imbalance,No,No,Family Intervention,Reconciled,5,NA,Yes,1,High,Yes,None,No,No,27,30
401,Delhi,Delhi,TRUE,2019-11-15,2022-08-29,,5.6,Domestic Violence,Yes,No,Counseling,Reconciled,22,NA,Yes,1,High,No,None,Yes,No,29,35
402,Gurgaon,Haryana,TRUE,2016-11-12,2025-08-04,,8.6,Career Prioritization,No,No,Family Intervention,Reconciled,11,NA,Yes,1,High,Yes,NGO,No,Yes,27,27
403,Chennai,Tamil Nadu,TRUE,2010-11-12,2017-04-14,2017-12-25,7.1,Unrealistic Expectations,No,No,Counseling,Ongoing,7,Joint,No,1,Medium,No,Parents,No,No,26,30
404,Pune,Maharashtra,TRUE,2018-01-02,,,7.5,In-Laws Conflict,No,No,Reconciliation,Reconciled,18,Joint,Yes,2,Low,Yes,Parents,Yes,No,28,31
405,Chennai,Tamil Nadu,TRUE,2016-10-09,2019-11-17,2021-03-13,4.4,Financial Stress,Yes,Yes,Reconciliation,Pending,7,NA,No,1,Medium,Yes,Parents,No,No,29,35
406,Ahmedabad,Gujarat,TRUE,2012-11-15,2017-08-20,2018-05-31,5.5,Career Prioritization,Yes,No,Counseling,Reconciled,17,Joint,No,1,High,No,None,No,No,32,32
407,Bengaluru,Karnataka,TRUE,2018-06-03,2025-11-03,,7.1,Lack of Compatibility,Yes,No,Divorce,Pending,8,NA,Yes,0,High,Yes,Friends,No,Yes,23,28
408,Bengaluru,Karnataka,TRUE,2010-12-15,2017-04-29,2018-12-20,8.0,Infidelity,Yes,No,Divorce,Settled,20,Father,No,1,High,No,None,No,No,32,34
409,Hyderabad,Telangana,TRUE,2015-04-14,2025-02-09,,10.2,Lack of Compatibility,Yes,Yes,Counseling,Settled,12,NA,No,0,Low,No,Friends,No,No,23,28
410,Ahmedabad,Gujarat,TRUE,2015-01-27,2018-10-01,2020-04-05,5.2,Unrealistic Expectations,No,No,Divorce,Reconciled,12,NA,Yes,2,Medium,Yes,Friends,No,No,26,27
411,Mumbai,Maharashtra,TRUE,2013-04-27,2017-12-04,2017-12-09,4.6,Lack of Compatibility,No,No,Counseling,Ongoing,10,Father,Yes,1,Low,No,Friends,Yes,No,31,33
412,Delhi,Delhi,TRUE,2012-08-04,2016-06-19,2017-02-18,4.5,Infidelity,Yes,No,Mediation,Settled,18,NA,No,0,High,Yes,None,No,No,31,34
413,Bengaluru,Karnataka,TRUE,2016-03-20,,,9.3,Career Prioritization,Yes,No,Family Intervention,Pending,10,Mother,No,1,High,Yes,NGO,Yes,No,26,28
414,Noida,Uttar Pradesh,TRUE,2010-01-26,2018-02-11,,15.4,Lack of Communication,No,No,Family Intervention,Settled,13,NA,Yes,1,High,Yes,NGO,No,No,29,29
415,Bengaluru,Karnataka,TRUE,2013-07-01,2020-10-23,2020-07-10,7.0,Career Prioritization,No,No,Family Intervention,Pending,13,Father,No,1,Low,No,NGO,Yes,No,25,26
416,Pune,Maharashtra,TRUE,2010-10-21,2017-10-02,,14.7,Unrealistic Expectations,Yes,No,Family Intervention,Reconciled,13,NA,Yes,0,Medium,Yes,None,No,Yes,24,30
417,Mumbai,Maharashtra,TRUE,2017-03-31,,,8.3,Career Prioritization,Yes,No,Family Intervention,Pending,21,NA,Yes,1,Medium,Yes,Friends,No,No,23,24
418,Ahmedabad,Gujarat,TRUE,2010-09-01,2013-12-20,,14.8,Domestic Violence,No,No,Reconciliation,Pending,6,NA,Yes,0,Medium,No,Friends,No,No,23,25
419,Chennai,Tamil Nadu,TRUE,2019-02-15,2025-05-25,,6.4,Unrealistic Expectations,Yes,No,Mediation,Ongoing,16,NA,Yes,0,Low,Yes,Parents,No,No,32,37
420,Delhi,Delhi,TRUE,2010-12-15,2019-02-28,2021-09-03,10.7,Lack of Communication,Yes,Yes,Counseling,Reconciled,22,Mother,Yes,2,Low,Yes,Friends,No,No,32,34
421,Ahmedabad,Gujarat,TRUE,2016-03-07,,,9.3,Domestic Violence,Yes,Yes,Divorce,Pending,21,NA,Yes,0,Medium,No,None,Yes,No,23,28
422,Chennai,Tamil Nadu,TRUE,2019-08-03,,,5.9,Lack of Communication,Yes,No,Family Intervention,Pending,21,NA,No,2,Medium,Yes,Parents,No,No,27,32
423,Noida,Uttar Pradesh,TRUE,2011-02-09,2019-03-14,2019-05-25,8.3,Financial Stress,No,No,Mediation,Settled,8,Joint,Yes,1,Medium,Yes,Parents,Yes,No,29,31
424,Bengaluru,Karnataka,TRUE,2018-01-06,,,7.5,Infidelity,Yes,No,Family Intervention,Reconciled,14,NA,No,0,High,Yes,Parents,Yes,No,26,28
425,Mumbai,Maharashtra,TRUE,2012-04-08,2021-04-17,2022-04-04,10.0,In-Laws Conflict,Yes,No,Mediation,Ongoing,7,Joint,No,1,Medium,No,Parents,No,No,30,34
426,Bengaluru,Karnataka,TRUE,2017-10-02,2023-03-27,2024-12-08,7.2,Career Prioritization,Yes,No,Counseling,Settled,22,NA,Yes,2,High,Yes,None,Yes,No,24,26
427,Delhi,Delhi,TRUE,2010-05-25,2013-09-14,2014-02-20,3.7,In-Laws Conflict,No,No,Mediation,Settled,8,NA,No,0,Medium,No,None,No,No,28,29
428,Ahmedabad,Gujarat,TRUE,2014-05-24,2019-10-26,2021-02-16,6.7,In-Laws Conflict,Yes,No,Mediation,Ongoing,6,Father,Yes,1,High,No,NGO,Yes,No,29,35
429,Kolkata,West Bengal,TRUE,2012-03-16,2015-06-06,,13.3,Lack of Compatibility,No,No,Reconciliation,Pending,11,NA,Yes,0,Medium,No,Parents,No,No,32,36
430,Gurgaon,Haryana,TRUE,2013-10-20,2020-11-17,2021-10-13,8.0,Domestic Violence,Yes,No,Family Intervention,Ongoing,7,NA,Yes,1,High,No,NGO,No,Yes,30,36
431,Delhi,Delhi,TRUE,2010-12-17,2015-06-27,2017-09-16,6.8,Lack of Compatibility,No,Yes,Counseling,Settled,6,Father,No,1,Medium,Yes,NGO,No,No,26,29
432,Chennai,Tamil Nadu,TRUE,2015-03-12,2018-01-03,2019-04-23,4.1,In-Laws Conflict,Yes,No,Divorce,Pending,20,NA,No,0,Medium,Yes,NGO,No,No,28,28
433,Kolkata,West Bengal,TRUE,2015-12-19,2021-05-10,2023-05-27,7.4,Lack of Communication,Yes,Yes,Family Intervention,Ongoing,11,NA,Yes,2,High,No,Friends,No,No,24,29
434,Pune,Maharashtra,TRUE,2014-01-22,2019-04-27,,11.4,Lack of Compatibility,No,No,Mediation,Settled,16,NA,Yes,1,Low,Yes,None,No,No,29,34
435,Bengaluru,Karnataka,TRUE,2013-03-08,2017-02-12,2018-07-25,5.4,In-Laws Conflict,Yes,No,Divorce,Pending,17,NA,No,0,Low,No,Parents,Yes,No,30,33
436,Mumbai,Maharashtra,TRUE,2011-12-20,2020-11-23,2021-02-23,9.2,Financial Stress,Yes,No,Reconciliation,Reconciled,14,NA,Yes,0,Low,Yes,NGO,No,No,24,26
437,Pune,Maharashtra,TRUE,2018-07-11,2023-10-17,2025-03-28,6.7,Lack of Communication,Yes,No,Mediation,Settled,17,Father,Yes,1,Medium,Yes,None,Yes,No,26,28
438,Mumbai,Maharashtra,TRUE,2016-08-30,2019-06-03,2021-04-26,4.7,Lack of Compatibility,Yes,Yes,Family Intervention,Settled,15,NA,No,0,High,Yes,NGO,No,No,30,35
439,Ahmedabad,Gujarat,TRUE,2011-10-24,2019-11-11,,13.7,Financial Stress,Yes,No,Counseling,Pending,10,NA,Yes,2,High,No,Friends,No,No,23,24
440,Bengaluru,Karnataka,TRUE,2011-12-25,2016-05-31,,13.5,Lack of Communication,Yes,No,Mediation,Pending,16,NA,Yes,1,Medium,No,None,No,No,24,25
441,Delhi,Delhi,TRUE,2016-04-15,2020-12-23,2021-02-01,4.8,Domestic Violence,No,No,Counseling,Pending,9,NA,Yes,0,Low,Yes,NGO,No,No,25,27
442,Mumbai,Maharashtra,TRUE,2018-12-20,,,6.5,Lack of Communication,Yes,Yes,Mediation,Pending,6,NA,No,2,Medium,Yes,NGO,No,No,25,25
443,Chennai,Tamil Nadu,TRUE,2012-05-01,2021-11-08,2021-06-27,9.2,Domestic Violence,Yes,No,Reconciliation,Settled,12,Joint,Yes,1,High,Yes,NGO,Yes,No,25,28
444,Kolkata,West Bengal,TRUE,2011-02-02,2018-08-10,,14.4,Lack of Compatibility,Yes,No,Counseling,Settled,18,NA,Yes,1,High,Yes,Parents,No,No,24,30
445,Chennai,Tamil Nadu,TRUE,2017-07-05,2020-12-12,2022-02-11,4.6,Infidelity,Yes,No,Mediation,Reconciled,6,Joint,No,1,Medium,Yes,Parents,No,No,26,27
446,Chennai,Tamil Nadu,TRUE,2018-12-18,,,6.5,Work-Life Imbalance,Yes,Yes,Reconciliation,Settled,19,NA,No,1,Medium,No,None,No,No,26,27
447,Gurgaon,Haryana,TRUE,2019-10-18,,,5.7,Lack of Communication,Yes,Yes,Family Intervention,Settled,19,NA,Yes,0,Low,No,Friends,No,No,27,31
448,Kolkata,West Bengal,TRUE,2010-09-17,2019-09-29,2021-06-24,10.8,Infidelity,No,No,Mediation,Settled,12,Mother,Yes,1,High,Yes,NGO,No,No,28,31
449,Chennai,Tamil Nadu,TRUE,2019-12-18,2025-12-03,,5.5,Work-Life Imbalance,Yes,No,Divorce,Pending,12,NA,Yes,0,High,Yes,Parents,No,No,32,37
450,Kolkata,West Bengal,TRUE,2013-06-05,2016-08-19,,12.1,Lack of Compatibility,Yes,No,Reconciliation,Pending,12,NA,Yes,1,High,Yes,None,No,No,31,32
451,Ahmedabad,Gujarat,TRUE,2012-07-19,2015-06-02,2017-08-01,5.0,Lack of Communication,Yes,No,Divorce,Settled,17,Mother,Yes,1,High,Yes,Parents,No,No,27,33
452,Delhi,Delhi,TRUE,2015-08-31,2024-10-31,,9.8,Lack of Communication,No,No,Reconciliation,Pending,11,NA,No,1,Low,No,NGO,No,No,31,35
453,Pune,Maharashtra,TRUE,2012-09-03,2019-04-30,2021-04-18,8.6,Work-Life Imbalance,Yes,No,Mediation,Reconciled,14,Joint,No,1,High,Yes,NGO,Yes,No,24,26
454,Hyderabad,Telangana,TRUE,2012-09-03,2016-08-08,2018-01-09,5.4,Domestic Violence,Yes,No,Mediation,Reconciled,10,Mother,No,2,High,Yes,None,No,No,26,27
455,Noida,Uttar Pradesh,TRUE,2018-03-22,2021-07-22,2023-07-21,5.3,Career Prioritization,Yes,No,Mediation,Reconciled,19,NA,Yes,0,High,Yes,Friends,No,No,30,31
456,Bengaluru,Karnataka,TRUE,2016-03-21,2025-10-10,,9.3,Financial Stress,No,No,Family Intervention,Reconciled,9,NA,Yes,0,Medium,Yes,Friends,No,No,27,28
457,Gurgaon,Haryana,TRUE,2011-02-16,2018-11-24,2019-04-30,8.2,Unrealistic Expectations,Yes,Yes,Divorce,Pending,6,Mother,No,1,Medium,Yes,Friends,Yes,No,28,32
458,Kolkata,West Bengal,TRUE,2010-08-07,2018-02-05,2019-08-21,9.0,Career Prioritization,Yes,No,Reconciliation,Settled,7,NA,Yes,1,Medium,No,NGO,No,No,29,33
459,Bengaluru,Karnataka,TRUE,2019-02-25,,,6.4,Domestic Violence,Yes,Yes,Divorce,Settled,20,Joint,No,1,Low,No,Parents,No,No,26,30
460,Mumbai,Maharashtra,TRUE,2016-10-07,2023-06-05,2023-11-01,7.1,Financial Stress,Yes,No,Counseling,Pending,22,Mother,Yes,1,Medium,Yes,NGO,Yes,No,32,36
461,Ahmedabad,Gujarat,TRUE,2015-01-10,2025-09-12,,10.5,Work-Life Imbalance,No,No,Mediation,Pending,6,NA,No,0,Low,Yes,None,No,Yes,31,34
